,image_id,filepath,class_id,is_train,class_name,images_filepath,resized_path
0,1,001.Black_footed_Albatross/Black_Footed_Albatross_0046_18.jpg,1,0,001.Black_footed_Albatross,C:\Users\Baron\Documents\Grad_School\EE_258\project\CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0046_18.jpg,C:\Users\Baron\Documents\Grad_School\EE_258\project\CUB_200_2011\images_p\001.Black_footed_Albatross/Black_Footed_Albatross_0046_18.jpg
1,2,001.Black_footed_Albatross/Black_Footed_Albatross_0009_34.jpg,1,1,001.Black_footed_Albatross,C:\Users\Baron\Documents\Grad_School\EE_258\project\CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0009_34.jpg,C:\Users\Baron\Documents\Grad_School\EE_258\project\CUB_200_2011\images_p\001.Black_footed_Albatross/Black_Footed_Albatross_0009_34.jpg
2,3,001.Black_footed_Albatross/Black_Footed_Albatross_0002_55.jpg,1,0,001.Black_footed_Albatross,C:\Users\Baron\Documents\Grad_School\EE_258\project\CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0002_55.jpg,C:\Users\Baron\Documents\Grad_School\EE_258\project\CUB_200_2011\images_p\001.Black_footed_Albatross/Black_Footed_Albatross_0002_55.jpg
3,4,001.Black_footed_Albatross/Black_Footed_Albatross_0074_59.jpg,1,1,001.Black_footed_Albatross,C:\Users\Baron\Documents\Grad_School\EE_258\project\CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0074_59.jpg,C:\Users\Baron\Documents\Grad_School\EE_258\project\CUB_200_2011\images_p\001.Black_footed_Albatross/Black_Footed_Albatross_0074_59.jpg
4,5,001.Black_footed_Albatross/Black_Footed_Albatross_0014_89.jpg,1,1,001.Black_footed_Albatross,C:\Users\Baron\Documents\Grad_School\EE_258\project\CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0014_89.jpg,C:\Users\Baron\Documents\Grad_School\EE_258\project\CUB_200_2011\images_p\001.Black_footed_Albatross/Black_Footed_Albatross_0014_89.jpg
5,6,001.Black_footed_Albatross/Black_Footed_Albatross_0085_92.jpg,1,0,001.Black_footed_Albatross,C:\Users\Baron\Documents\Grad_School\EE_258\project\CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0085_92.jpg,C:\Users\Baron\Documents\Grad_School\EE_258\project\CUB_200_2011\images_p\001.Black_footed_Albatross/Black_Footed_Albatross_0085_92.jpg
6,7,001.Black_footed_Albatross/Black_Footed_Albatross_0031_100.jpg,1,1,001.Black_footed_Albatross,C:\Users\Baron\Documents\Grad_School\EE_258\project\CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0031_100.jpg,C:\Users\Baron\Documents\Grad_School\EE_258\project\CUB_200_2011\images_p\001.Black_footed_Albatross/Black_Footed_Albatross_0031_100.jpg
7,8,001.Black_footed_Albatross/Black_Footed_Albatross_0051_796103.jpg,1,1,001.Black_footed_Albatross,C:\Users\Baron\Documents\Grad_School\EE_258\project\CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0051_796103.jpg,C:\Users\Baron\Documents\Grad_School\EE_258\project\CUB_200_2011\images_p\001.Black_footed_Albatross/Black_Footed_Albatross_0051_796103.jpg
8,9,001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.jpg,1,1,001.Black_footed_Albatross,C:\Users\Baron\Documents\Grad_School\EE_258\project\CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.jpg,C:\Users\Baron\Documents\Grad_School\EE_258\project\CUB_200_2011\images_p\001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.jpg
9,10,001.Black_footed_Albatross/Black_Footed_Albatross_0025_796057.jpg,1,0,001.Black_footed_Albatross,C:\Users\Baron\Documents\Grad_School\EE_258\project\CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0025_796057.jpg,C:\Users\Baron\Documents\Grad_School\EE_258\project\CUB_200_2011\images_p\001.Black_footed_Albatross/Black_Footed_Albatross_0025_796057.jpg
